scenario,path_dijkstra,ete_dijkstra,ete_safe_dijkstra,rst_dijkstra,ete_dijkstra_rst,ete_safe_dijkstra_rst,rst_dijkstra_rst,path_dijkstra,path_dijkstra_rst
RsT2 - 51 - 66 - 1.35 - R1,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68"", ""7"", ""49"", ""30"", ""11"", ""66""]",46.98,19.3,19.08,46.98,19.3,26.66,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68"", ""7"", ""49"", ""30"", ""11"", ""66""]"
RsT2 - 51 - 66 - 1.4 - R1,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68"", ""7"", ""49"", ""30"", ""11"", ""66""]",45.31,18.61,19.08,45.31,18.61,26.66,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68"", ""7"", ""49"", ""30"", ""11"", ""66""]"
RsT2 - 51 - 66 - 1.51 - R1,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68"", ""7"", ""49"", ""30"", ""11"", ""66""]",42.0,17.25,19.08,42.0,17.25,26.66,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68"", ""7"", ""49"", ""30"", ""11"", ""66""]"
RsT2 - 51 - 67 - 1.35 - R1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67""]",33.12,31.6,19.08,38.2,19.3,26.66,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67""]","[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68"", ""7"", ""49"", ""8"", ""44"", ""45"", ""46"", ""40"", ""67""]"
RsT2 - 51 - 67 - 1.4 - R1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67""]",31.94,30.47,19.08,36.83,18.61,26.66,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67""]","[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68"", ""7"", ""49"", ""8"", ""44"", ""45"", ""46"", ""40"", ""67""]"
RsT2 - 51 - 67 - 1.51 - R1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67""]",29.61,28.25,19.08,34.15,17.25,26.66,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67""]","[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68"", ""7"", ""49"", ""8"", ""44"", ""45"", ""46"", ""40"", ""67""]"
RsT2 - 51 - 68 - 1.35 - R1,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68""]",21.34,19.3,19.08,21.34,19.3,26.66,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68""]","[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68""]"
RsT2 - 51 - 68 - 1.4 - R1,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68""]",20.58,18.61,19.08,20.58,18.61,26.66,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68""]","[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68""]"
RsT2 - 51 - 68 - 1.51 - R1,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68""]",19.08,17.25,19.08,19.08,17.25,26.66,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68""]","[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""69"", ""68""]"
RsT2 - 52 - 66 - 1.35 - R1,"[""4"", ""2"", ""6"", ""57"", ""70"", ""7"", ""49"", ""30"", ""11"", ""66""]",39.69,15.34,19.08,39.69,15.34,24.93,"[""4"", ""2"", ""6"", ""57"", ""70"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""4"", ""2"", ""6"", ""57"", ""70"", ""7"", ""49"", ""30"", ""11"", ""66""]"
